Slice,Count,Total Area,Average Size,%Area
14_hyp4_slice7.tif-(Colour_1).tif,5,547480.189,109496.038,49.170
14_hyp4_slice7.tif-(Colour_2).tif,63,2464.515,39.119,0.221
15_DH1_slice4.tif-(Colour_1).tif,6,1044375.095,174062.516,93.797
15_DH1_slice4.tif-(Colour_2).tif,69,2186.961,31.695,0.196
15_DH2_slice5.tif-(Colour_1).tif,9,1075819.478,119535.498,96.621
15_DH2_slice5.tif-(Colour_2).tif,109,3845.589,35.281,0.345
15_DH3_slice6.tif-(Colour_1).tif,6,1031255.130,171875.855,92.619
15_DH3_slice6.tif-(Colour_2).tif,55,1419.896,25.816,0.128
15_hyp1_slice4.tif-(Colour_1).tif,14,889111.579,63507.970,79.853
15_hyp1_slice4.tif-(Colour_2).tif,157,5356.962,34.121,0.481
15_hyp2_slice5.tif-(Colour_1).tif,7,903683.534,129097.648,81.161
15_hyp2_slice5.tif-(Colour_2).tif,156,6914.296,44.322,0.621
15_hyp3_slice6.tif-(Colour_1).tif,22,533292.362,24240.562,47.896
15_hyp3_slice6.tif-(Colour_2).tif,79,3303.423,41.815,0.297
16_DH1_slice4.tif-(Colour_1).tif,33,803096.313,24336.252,72.127
16_DH1_slice4.tif-(Colour_2).tif,74,3144.119,42.488,0.282
16_DH2_slice5.tif-(Colour_1).tif,7,899216.804,128459.543,80.760
16_DH2_slice5.tif-(Colour_2).tif,90,4275.306,47.503,0.384
16_DH3_slice6.tif-(Colour_1).tif,9,1101007.227,122334.136,98.883
16_DH3_slice6.tif-(Colour_2).tif,70,2444.435,34.920,0.220
16_hyp1_slice4.tif-(Colour_1).tif,9,753930.486,83770.054,67.712
16_hyp1_slice4.tif-(Colour_2).tif,156,5918.316,37.938,0.532
16_hyp2_slice5.tif-(Colour_1).tif,11,769480.167,69952.742,69.108
16_hyp2_slice5.tif-(Colour_2).tif,178,10719.725,60.223,0.963
16_hyp3_slice6.tif-(Colour_1).tif,8,841140.779,105142.597,75.544
16_hyp3_slice6.tif-(Colour_2).tif,305,18454.187,60.506,1.657
16_hyp4_slice7.tif-(Colour_1).tif,12,766201.316,63850.110,68.814
16_hyp4_slice7.tif-(Colour_2).tif,311,23695.130,76.190,2.128
17_DH1_slice4.tif-(Colour_1).tif,22,1080056.325,49093.469,97.002
17_DH1_slice4.tif-(Colour_2).tif,209,16661.245,79.719,1.496
17_DH2_slice5.tif-(Colour_1).tif,5,1112152.552,222430.510,99.884
17_DH2_slice5.tif-(Colour_2).tif,418,31726.780,75.901,2.849
17_DH3_slice6.tif-(Colour_1).tif,24,667261.457,27802.561,59.928
17_DH3_slice6.tif-(Colour_2).tif,184,14075.802,76.499,1.264
17_DH4_slice8.tif-(Colour_1).tif,14,975645.330,69688.952,87.624
17_DH4_slice8.tif-(Colour_2).tif,803,111618.025,139.001,10.025
17_DH5_slice9.tif-(Colour_1).tif,34,696532.664,20486.255,62.557
17_DH5_slice9.tif-(Colour_2).tif,136,9949.090,73.155,0.894
17_hyp1_slice4.tif-(Colour_1).tif,24,731706.587,30487.774,65.716
17_hyp1_slice4.tif-(Colour_2).tif,292,24015.522,82.245,2.157
17_hyp2_slice6.tif-(Colour_1).tif,24,728103.275,30337.636,65.392
17_hyp2_slice6.tif-(Colour_2).tif,468,45025.701,96.209,4.044
17_hyp3_slice7.tif-(Colour_1).tif,29,704934.679,24308.092,63.311
17_hyp3_slice7.tif-(Colour_2).tif,412,39517.021,95.915,3.549
18_DH1_slice4.tif-(Colour_1).tif,1,1113431.500,1113431.500,99.999
18_DH1_slice4.tif-(Colour_2).tif,125,6427.908,51.423,0.577
18_DH2_slice5.tif-(Colour_1).tif,1,1113427.500,1113427.500,99.999
18_DH2_slice5.tif-(Colour_2).tif,115,5783.556,50.292,0.519
18_hyp1_slice4.tif-(Colour_1).tif,8,866401.275,108300.159,77.813
18_hyp1_slice4.tif-(Colour_2).tif,388,31638.873,81.543,2.842
18_hyp2_slice6.tif-(Colour_1).tif,29,785691.164,27092.799,70.564
18_hyp2_slice6.tif-(Colour_2).tif,335,27184.184,81.147,2.441
18_hyp3_slice7.tif-(Colour_1).tif,27,624760.996,23139.296,56.111
18_hyp3_slice7.tif-(Colour_2).tif,386,39126.126,101.363,3.514
19_DH1_slice4.tif-(Colour_1).tif,4,1112391.339,278097.835,99.906
19_DH1_slice4.tif-(Colour_2).tif,140,8202.109,58.586,0.737
19_DH2_slice5.tif-(Colour_1).tif,1,1113409.125,1113409.125,99.997
19_DH2_slice5.tif-(Colour_2).tif,103,4020.064,39.030,0.361
19_DH3_slice6.tif-(Colour_1).tif,1,1113330.625,1113330.625,99.990
19_DH3_slice6.tif-(Colour_2).tif,78,2287.809,29.331,0.205
19_DH4_slice7.tif-(Colour_1).tif,1,1113165.125,1113165.125,99.975
19_DH4_slice7.tif-(Colour_2).tif,116,4626.041,39.880,0.415
19_hyp1_slice4.tif-(Colour_1).tif,19,325277.596,17119.873,29.214
19_hyp1_slice4.tif-(Colour_2).tif,193,19334.148,100.177,1.736
19_hyp2_slice4.tif-(Colour_1).tif,35,509043.476,14544.099,45.718
19_hyp2_slice4.tif-(Colour_2).tif,203,14663.930,72.236,1.317
19_hyp3_slice6.tif-(Colour_1).tif,94,210782.729,2242.369,18.931
19_hyp3_slice6.tif-(Colour_2).tif,129,21282.824,164.983,1.911
1_DH1_slice5.tif-(Colour_1).tif,3,1103079.031,367693.010,99.069
1_DH1_slice5.tif-(Colour_2).tif,166,9133.386,55.020,0.820
1_DH2_slice6.tif-(Colour_1).tif,7,1091682.768,155954.681,98.046
1_DH2_slice6.tif-(Colour_2).tif,258,22569.298,87.478,2.027
1_DH3_slice8.tif-(Colour_1).tif,10,1076026.505,107602.650,96.640
1_DH3_slice8.tif-(Colour_2).tif,331,21649.623,65.407,1.944
1_hyp1_slice4.tif-(Colour_1).tif,47,669784.456,14250.733,60.154
1_hyp1_slice4.tif-(Colour_2).tif,196,17912.467,91.390,1.609
1_hyp2_slice6.tif-(Colour_1).tif,34,669286.444,19684.895,60.110
1_hyp2_slice6.tif-(Colour_2).tif,276,21281.485,77.107,1.911
1_hyp3_slice7.tif-(Colour_1).tif,21,753890.781,35899.561,67.708
1_hyp3_slice7.tif-(Colour_2).tif,164,10287.777,62.730,0.924
20_DH1_slice3.tif-(Colour_1).tif,1,1113304.375,1113304.375,99.988
20_DH1_slice3.tif-(Colour_2).tif,131,5154.375,39.346,0.463
20_hyp1_slice3.tif-(Colour_1).tif,37,600467.483,16228.851,53.929
20_hyp1_slice3.tif-(Colour_2).tif,115,6698.322,58.246,0.602
21_DH1_slice4.tif-(Colour_1).tif,2,1103846.514,551923.257,99.138
21_DH1_slice4.tif-(Colour_2).tif,154,8105.278,52.632,0.728
21_DH2_slice5.tif-(Colour_1).tif,5,1020752.731,204150.546,91.675
21_DH2_slice5.tif-(Colour_2).tif,194,10198.977,52.572,0.916
21_DH3_slice6.tif-(Colour_1).tif,25,1041487.561,41659.502,93.538
21_DH3_slice6.tif-(Colour_2).tif,208,13121.322,63.083,1.178
21_DH4_slice7.tif-(Colour_1).tif,2,1106494.017,553247.009,99.376
21_DH4_slice7.tif-(Colour_2).tif,274,20356.455,74.294,1.828
21_DH5_slice8.tif-(Colour_1).tif,1,1113288.750,1113288.750,99.986
21_DH5_slice8.tif-(Colour_2).tif,187,9969.170,53.311,0.895
21_hyp1_slice4.tif-(Colour_1).tif,23,406859.602,17689.548,36.541
21_hyp1_slice4.tif-(Colour_2).tif,274,66428.113,242.438,5.966
21_hyp2_slice5.tif-(Colour_1).tif,7,677798.284,96828.326,60.874
21_hyp2_slice5.tif-(Colour_2).tif,293,22828.110,77.912,2.050
21_hyp3_slice6.tif-(Colour_1).tif,18,452583.640,25143.536,40.647
21_hyp3_slice6.tif-(Colour_2).tif,345,54389.786,157.652,4.885
21_hyp4_slice7.tif-(Colour_1).tif,6,563302.534,93883.756,50.591
21_hyp4_slice7.tif-(Colour_2).tif,232,21700.493,93.537,1.949
21_hyp5_slice8.tif-(Colour_1).tif,12,411756.490,34313.041,36.981
21_hyp5_slice8.tif-(Colour_2).tif,222,15457.769,69.630,1.388
22_DH1_slice5.tif-(Colour_1).tif,6,1041354.601,173559.100,93.526
22_DH1_slice5.tif-(Colour_2).tif,132,5036.571,38.156,0.452
22_DH2_slice6.tif-(Colour_1).tif,3,1000372.622,333457.541,89.845
22_DH2_slice6.tif-(Colour_2).tif,94,3174.463,33.771,0.285
22_DH3_slice7.tif-(Colour_1).tif,8,924359.506,115544.938,83.018
22_DH3_slice7.tif-(Colour_2).tif,58,1765.276,30.436,0.159
22_hyp1_slice4.tif-(Colour_1).tif,15,506665.959,33777.731,45.505
22_hyp1_slice4.tif-(Colour_2).tif,183,10783.535,58.926,0.968
22_hyp2_slice5.tif-(Colour_1).tif,33,628948.847,19059.056,56.487
22_hyp2_slice5.tif-(Colour_2).tif,297,21538.959,72.522,1.934
22_hyp3_slice6.tif-(Colour_1).tif,11,483665.601,43969.600,43.439
22_hyp3_slice6.tif-(Colour_2).tif,139,6176.236,44.433,0.555
22_hyp4_slice7.tif-(Colour_1).tif,32,540485.562,16890.174,48.542
22_hyp4_slice7.tif-(Colour_2).tif,170,8712.147,51.248,0.782
23_DH2_slice5.tif-(Colour_1).tif,1,1113397.125,1113397.125,99.996
23_DH2_slice5.tif-(Colour_2).tif,174,11195.403,64.341,1.005
23_DH3_slice7.tif-(Colour_1).tif,21,1090705.985,51938.380,97.958
23_DH3_slice7.tif-(Colour_2).tif,350,26185.526,74.816,2.352
23_hyp1_slice4.tif-(Colour_1).tif,46,625304.484,13593.576,56.160
23_hyp1_slice4.tif-(Colour_2).tif,337,29190.869,86.620,2.622
23_hyp2_slice5.tif-(Colour_1).tif,29,720831.534,24856.260,64.739
23_hyp2_slice5.tif-(Colour_2).tif,157,14966.473,95.328,1.344
23_hyp3_slice6.tif-(Colour_1).tif,13,821181.026,63167.771,73.752
23_hyp3_slice6.tif-(Colour_2).tif,130,4786.683,36.821,0.430
23_hyp4_slice7.tif-(Colour_1).tif,30,365515.262,12183.842,32.828
23_hyp4_slice7.tif-(Colour_2).tif,75,4225.775,56.344,0.380
24_DH1_slice4.tif-(Colour_1).tif,16,1009434.584,63089.661,90.659
24_DH1_slice4.tif-(Colour_2).tif,128,6645.221,51.916,0.597
24_DH2_slice5.tif-(Colour_1).tif,144,1010109.724,7014.651,90.720
24_DH2_slice5.tif-(Colour_2).tif,127,4676.465,36.823,0.420
24_DH3_slice6.tif-(Colour_1).tif,281,944591.951,3361.537,84.835
24_DH3_slice6.tif-(Colour_2).tif,108,3626.491,33.579,0.326
24_DH4_slice7.tif-(Colour_1).tif,162,981263.822,6057.184,88.129
24_DH4_slice7.tif-(Colour_2).tif,64,1896.467,29.632,0.170
24_hyp1_slice4.tif-(Colour_1).tif,6,658523.003,109753.834,59.143
24_hyp1_slice4.tif-(Colour_2).tif,295,20984.298,71.133,1.885
24_hyp2_slice5.tif-(Colour_1).tif,6,575882.579,95980.430,51.721
24_hyp2_slice5.tif-(Colour_2).tif,269,37448.310,139.213,3.363
24_hyp3_slice6.tif-(Colour_1).tif,3,609351.839,203117.280,54.727
24_hyp3_slice6.tif-(Colour_2).tif,213,13487.228,63.320,1.211
24_hyp4_slice7.tif-(Colour_1).tif,26,493379.982,18976.153,44.311
24_hyp4_slice7.tif-(Colour_2).tif,236,17613.048,74.632,1.582
25_DH1_slice4.tif-(Colour_1).tif,12,1077311.999,89776.000,96.755
25_DH1_slice4.tif-(Colour_2).tif,162,10796.030,66.642,0.970
25_DH2_slice5.tif-(Colour_1).tif,6,1102545.800,183757.633,99.021
25_DH2_slice5.tif-(Colour_2).tif,137,7801.843,56.948,0.701
25_DH3_slice6.tif-(Colour_1).tif,13,1071698.033,82438.310,96.251
25_DH3_slice6.tif-(Colour_2).tif,219,18429.645,84.154,1.655
25_DH4_slice7.tif-(Colour_1).tif,27,1028424.724,38089.805,92.365
25_DH4_slice7.tif-(Colour_2).tif,152,10448.865,68.743,0.938
25_hyp1_slice4.tif-(Colour_1).tif,37,610021.650,16487.072,54.787
25_hyp1_slice4.tif-(Colour_2).tif,376,51522.328,137.027,4.627
25_hyp2_slice5.tif-(Colour_1).tif,8,744160.314,93020.039,66.834
25_hyp2_slice5.tif-(Colour_2).tif,344,33236.814,96.619,2.985
25_hyp3_slice6.tif-(Colour_1).tif,14,644166.562,46011.897,57.854
25_hyp3_slice6.tif-(Colour_2).tif,258,22445.247,86.997,2.016
25_hyp4_slice7.tif-(Colour_1).tif,125,567823.274,4542.586,50.997
25_hyp4_slice7.tif-(Colour_2).tif,311,40282.301,129.525,3.618
26_DH1_slice4.tif-(Colour_1).tif,1,1113143.625,1113143.625,99.973
26_DH1_slice4.tif-(Colour_2).tif,174,10332.399,59.382,0.928
26_DH2_slice6.tif-(Colour_1).tif,5,1100457.478,220091.496,98.834
26_DH2_slice6.tif-(Colour_2).tif,122,4920.105,40.329,0.442
26_DH3_slice7.tif-(Colour_1).tif,2,1113012.446,556506.223,99.961
26_DH3_slice7.tif-(Colour_2).tif,123,4474.770,36.380,0.402
26_hyp1_slice4.tif-(Colour_1).tif,20,298374.980,14918.749,26.798
26_hyp1_slice4.tif-(Colour_2).tif,183,27112.787,148.157,2.435
26_hyp2_slice5.tif-(Colour_1).tif,6,805328.327,134221.388,72.328
26_hyp2_slice5.tif-(Colour_2).tif,144,8045.037,55.868,0.723
26_hyp3_slice6.tif-(Colour_1).tif,12,437115.163,36426.264,39.258
26_hyp3_slice6.tif-(Colour_2).tif,189,16635.810,88.020,1.494
26_hyp4_slice7.tif-(Colour_1).tif,37,716552.651,19366.288,64.355
26_hyp4_slice7.tif-(Colour_2).tif,156,9072.253,58.155,0.815
27_DH1_slice4.tif-(Colour_1).tif,15,1066224.602,71081.640,95.759
27_DH1_slice4.tif-(Colour_2).tif,84,3849.605,45.829,0.346
27_DH2_slice5.tif-(Colour_1).tif,4,1100906.299,275226.575,98.874
27_DH2_slice5.tif-(Colour_2).tif,91,2987.494,32.830,0.268
27_DH3_slice6.tif-(Colour_1).tif,7,1072397.244,153199.606,96.314
27_DH3_slice6.tif-(Colour_2).tif,80,3249.875,40.623,0.292
27_hyp1_slice4.tif-(Colour_1).tif,2,736893.955,368446.977,66.182
27_hyp1_slice4.tif-(Colour_2).tif,149,7912.061,53.101,0.711
27_hyp2_slice5.tif-(Colour_1).tif,4,899899.584,224974.896,80.821
27_hyp2_slice5.tif-(Colour_2).tif,235,15809.843,67.276,1.420
27_hyp3_slice6.tif-(Colour_1).tif,8,675443.542,84430.443,60.663
27_hyp3_slice6.tif-(Colour_2).tif,194,11174.877,57.602,1.004
27_hyp4_slice7.tif-(Colour_1).tif,12,819570.998,68297.583,73.607
27_hyp4_slice7.tif-(Colour_2).tif,190,22414.903,117.973,2.013
28_DH1_slice4.tif-(Colour_1).tif,6,1077022.855,179503.809,96.729
28_DH1_slice4.tif-(Colour_2).tif,142,7234.688,50.949,0.650
28_DH3_slice6.tif-(Colour_1).tif,2,1101737.696,550868.848,98.949
28_DH3_slice6.tif-(Colour_2).tif,85,3485.930,41.011,0.313
28_DH4_slice7.tif-(Colour_1).tif,8,1053852.962,131731.620,94.648
28_DH4_slice7.tif-(Colour_2).tif,125,5646.564,45.173,0.507
28_hyp1_slice4.tif-(Colour_1).tif,83,492799.449,5937.343,44.259
28_hyp1_slice4.tif-(Colour_2).tif,226,16942.368,74.966,1.522
28_hyp2_slice5.tif-(Colour_1).tif,25,638013.070,25520.523,57.301
28_hyp2_slice5.tif-(Colour_2).tif,386,46268.444,119.866,4.155
28_hyp3_slice6.tif-(Colour_1).tif,21,585562.567,27883.932,52.590
28_hyp3_slice6.tif-(Colour_2).tif,383,38170.753,99.663,3.428
28_hyp4_slice7.tif-(Colour_1).tif,36,497568.742,13821.354,44.687
28_hyp4_slice7.tif-(Colour_2).tif,250,30276.094,121.104,2.719
29_DH1_slice4.tif-(Colour_1).tif,3,1111585.856,370528.619,99.833
29_DH1_slice4.tif-(Colour_2).tif,471,48643.267,103.277,4.369
29_DH2_slice5.tif-(Colour_1).tif,2,1113154.821,556577.411,99.974
29_DH2_slice5.tif-(Colour_2).tif,330,33531.771,101.611,3.012
29_DH3_slice7.tif-(Colour_1).tif,1,1113071.375,1113071.375,99.967
29_DH3_slice7.tif-(Colour_2).tif,309,39580.832,128.093,3.555
29_DH4_slice8.tif-(Colour_1).tif,1,1113195.875,1113195.875,99.978
29_DH4_slice8.tif-(Colour_2).tif,351,40612.064,115.704,3.647
29_hyp1_slice4.tif-(Colour_1).tif,279,440099.070,1577.416,39.526
29_hyp1_slice4.tif-(Colour_2).tif,379,81368.259,214.692,7.308
29_hyp2_slice5.tif-(Colour_1).tif,40,628262.548,15706.564,56.425
29_hyp2_slice5.tif-(Colour_2).tif,359,74485.198,207.480,6.690
29_hyp3_slice6.tif-(Colour_1).tif,41,726976.987,17731.146,65.291
29_hyp3_slice6.tif-(Colour_2).tif,414,69344.657,167.499,6.228
29_hyp4_slice7.tif-(Colour_1).tif,12,471449.695,39287.475,42.342
29_hyp4_slice7.tif-(Colour_2).tif,327,63234.463,193.378,5.679
2_DH1_slice4.tif-(Colour_1).tif,1,1113419.500,1113419.500,99.998
2_DH1_slice4.tif-(Colour_2).tif,114,4591.682,40.278,0.412
2_DH2_slice5.tif-(Colour_1).tif,1,1113423.500,1113423.500,99.998
2_DH2_slice5.tif-(Colour_2).tif,87,3291.375,37.832,0.296
2_DH3_slice6.tif-(Colour_1).tif,21,1044513.459,49738.736,93.809
2_DH3_slice6.tif-(Colour_2).tif,148,6365.883,43.013,0.572
2_DH4_slice7.tif-(Colour_1).tif,1,1113201.250,1113201.250,99.978
2_DH4_slice7.tif-(Colour_2).tif,47,1395.800,29.698,0.125
2_hyp1_slice4.tif-(Colour_1).tif,22,453885.739,20631.170,40.764
2_hyp1_slice4.tif-(Colour_2).tif,182,14623.770,80.350,1.313
2_hyp2_slice5.tif-(Colour_1).tif,15,761290.096,50752.673,68.373
2_hyp2_slice5.tif-(Colour_2).tif,223,11386.389,51.060,1.023
2_hyp3_slice6.tif-(Colour_1).tif,21,526767.649,25084.174,47.310
2_hyp3_slice6.tif-(Colour_2).tif,133,5207.922,39.157,0.468
2_hyp4_slice7.tif-(Colour_1).tif,12,622766.338,51897.195,55.932
2_hyp4_slice7.tif-(Colour_2).tif,218,10520.261,48.258,0.945
30_DH1_slice3.tif-(Colour_1).tif,2,1112779.946,556389.973,99.941
30_DH1_slice3.tif-(Colour_2).tif,488,56044.844,114.846,5.033
30_DH2_slice5.tif-(Colour_1).tif,3,1112358.302,370786.101,99.903
30_DH2_slice5.tif-(Colour_2).tif,357,33437.170,93.662,3.003
30_DH3_slice6.tif-(Colour_1).tif,1,1112846.000,1112846.000,99.947
30_DH3_slice6.tif-(Colour_2).tif,425,36050.725,84.825,3.238
30_DH4_slice7.tif-(Colour_1).tif,18,1089856.382,60547.577,97.882
30_DH4_slice7.tif-(Colour_2).tif,502,42718.704,85.097,3.837
30_DH5_slice8.tif-(Colour_1).tif,1,1111706.375,1111706.375,99.844
30_DH5_slice8.tif-(Colour_2).tif,481,45078.355,93.718,4.049
30_hyp1_slice3.tif-(Colour_1).tif,20,790047.265,39502.363,70.955
30_hyp1_slice3.tif-(Colour_2).tif,538,70896.190,131.777,6.367
30_hyp2_slice4.tif-(Colour_1).tif,21,727040.811,34620.991,65.297
30_hyp2_slice4.tif-(Colour_2).tif,316,29887.876,94.582,2.684
30_hyp3_slice5.tif-(Colour_1).tif,22,648527.957,29478.544,58.245
30_hyp3_slice5.tif-(Colour_2).tif,289,28068.607,97.123,2.521
30_hyp4_slice6.tif-(Colour_1).tif,15,843239.824,56215.988,75.733
30_hyp4_slice6.tif-(Colour_2).tif,714,80520.426,112.774,7.232
30_hyp5_slice7.tif-(Colour_1).tif,18,591814.223,32878.568,53.152
30_hyp5_slice7.tif-(Colour_2).tif,605,72567.759,119.947,6.517
30_hyp6_slice8.tif-(Colour_1).tif,38,650706.886,17123.865,58.441
30_hyp6_slice8.tif-(Colour_2).tif,605,77270.997,127.721,6.940
31_DH1_slice4.tif-(Colour_1).tif,3,907824.999,302608.333,81.533
31_DH1_slice4.tif-(Colour_2).tif,128,6713.494,52.449,0.603
31_DH2_slice6.tif-(Colour_1).tif,1,1113424.375,1113424.375,99.998
31_DH2_slice6.tif-(Colour_2).tif,84,2621.141,31.204,0.235
31_DH3_slice7.tif-(Colour_1).tif,1,1113377.000,1113377.000,99.994
31_DH3_slice7.tif-(Colour_2).tif,120,4488.157,37.401,0.403
31_hyp1_slice4.tif-(Colour_1).tif,22,494945.818,22497.537,44.452
31_hyp1_slice4.tif-(Colour_2).tif,97,6239.600,64.326,0.560
31_hyp2_slice5.tif-(Colour_1).tif,12,499117.576,41593.131,44.827
31_hyp2_slice5.tif-(Colour_2).tif,87,5173.116,59.461,0.465
31_hyp3_slice6.tif-(Colour_1).tif,34,611408.940,17982.616,54.912
31_hyp3_slice6.tif-(Colour_2).tif,90,4083.875,45.376,0.367
31_hyp4_slice7.tif-(Colour_1).tif,14,629982.274,44998.734,56.580
31_hyp4_slice7.tif-(Colour_2).tif,82,3945.098,48.111,0.354
32_DH1_slice4.tif-(Colour_1).tif,8,1101070.047,137633.756,98.889
32_DH1_slice4.tif-(Colour_2).tif,88,3531.891,40.135,0.317
32_DH2_slice5.tif-(Colour_1).tif,7,1087660.029,155380.004,97.685
32_DH2_slice5.tif-(Colour_2).tif,101,4194.539,41.530,0.377
32_DH3_slice6.tif-(Colour_1).tif,14,1060397.348,75742.668,95.236
