Slice,Count,Total Area,Average Size,%Area
10_DH1_slice2.tif-(Colour_1).tif,4,943052.869,235763.217,84.697
10_DH1_slice2.tif-(Colour_2).tif,607,75757.839,124.807,6.804
10_DH2_slice3.tif-(Colour_1).tif,30,877535.537,29251.185,78.813
10_DH2_slice3.tif-(Colour_2).tif,416,46521.009,111.829,4.178
10_DH3_slice4.tif-(Colour_1).tif,18,932179.210,51787.734,83.721
10_DH3_slice4.tif-(Colour_2).tif,687,88577.957,128.934,7.955
10_DH4_slice5.tif-(Colour_1).tif,17,878489.556,51675.856,78.899
10_DH4_slice5.tif-(Colour_2).tif,232,24411.772,105.223,2.192
10_hyp1_slice1.tif-(Colour_1).tif,9,626734.207,69637.134,56.288
10_hyp1_slice1.tif-(Colour_2).tif,514,95383.821,185.572,8.567
10_hyp2_slice2.tif-(Colour_1).tif,29,760026.394,26207.807,68.259
10_hyp2_slice2.tif-(Colour_2).tif,580,68557.957,118.203,6.157
10_hyp3_slice3.tif-(Colour_1).tif,17,800177.508,47069.265,71.865
10_hyp3_slice3.tif-(Colour_2).tif,764,138769.635,181.636,12.463
10_hyp4_slice5.tif-(Colour_1).tif,40,741683.773,18542.094,66.612
10_hyp4_slice5.tif-(Colour_2).tif,616,198155.831,321.682,17.797
11_DH1_slice3.tif-(Colour_1).tif,2,1086988.892,543494.446,97.624
11_DH1_slice3.tif-(Colour_2).tif,123,5519.835,44.877,0.496
11_DH2_slice4.tif-(Colour_1).tif,2,1113245.892,556622.946,99.982
11_DH2_slice4.tif-(Colour_2).tif,98,3464.065,35.348,0.311
11_DH3_slice5.tif-(Colour_1).tif,1,1113375.750,1113375.750,99.994
11_DH3_slice5.tif-(Colour_2).tif,94,3371.696,35.869,0.303
11_DH4_slice6.tif-(Colour_1).tif,1,1113050.875,1113050.875,99.965
11_DH4_slice6.tif-(Colour_2).tif,143,6471.638,45.256,0.581
11_hyp1_slice3.tif-(Colour_1).tif,20,615830.622,30791.531,55.309
11_hyp1_slice3.tif-(Colour_2).tif,245,18590.733,75.881,1.670
11_hyp2_slice4.tif-(Colour_1).tif,3,794254.303,264751.434,71.333
11_hyp2_slice4.tif-(Colour_2).tif,247,16439.916,66.558,1.476
11_hyp3_slice5.tif-(Colour_1).tif,12,587517.043,48959.754,52.766
11_hyp3_slice5.tif-(Colour_2).tif,253,17764.766,70.216,1.595
11_hyp4_slice6.tif-(Colour_1).tif,5,804259.178,160851.836,72.232
11_hyp4_slice6.tif-(Colour_2).tif,268,15645.631,58.379,1.405
12_DH1_slice4.tif-(Colour_1).tif,8,1061825.718,132728.215,95.364
12_DH1_slice4.tif-(Colour_2).tif,154,24658.535,160.120,2.215
12_DH2_slice5.tif-(Colour_1).tif,1,1113402.000,1113402.000,99.996
12_DH2_slice5.tif-(Colour_2).tif,136,5843.796,42.969,0.525
12_DH3_slice6.tif-(Colour_1).tif,2,1073321.892,536660.946,96.397
12_DH3_slice6.tif-(Colour_2).tif,124,5685.385,45.850,0.511
12_DH4_slice7.tif-(Colour_1).tif,1,1106017.000,1106017.000,99.333
12_DH4_slice7.tif-(Colour_2).tif,172,7876.809,45.795,0.707
12_hyp1_slice4.tif-(Colour_1).tif,8,788966.054,98620.757,70.858
12_hyp1_slice4.tif-(Colour_2).tif,237,13282.410,56.044,1.193
12_hyp2_slice6.tif-(Colour_1).tif,16,467658.092,29228.631,42.001
12_hyp2_slice6.tif-(Colour_2).tif,178,10580.948,59.444,0.950
12_hyp3_slice7.tif-(Colour_1).tif,5,615290.235,123058.047,55.260
12_hyp3_slice7.tif-(Colour_2).tif,106,5303.415,50.032,0.476
13_DH1_slice3.tif-(Colour_1).tif,1,1113295.000,1113295.000,99.987
13_DH1_slice3.tif-(Colour_2).tif,139,6454.236,46.433,0.580
13_DH2_slice4.tif-(Colour_1).tif,18,1094627.064,60812.615,98.310
13_DH2_slice4.tif-(Colour_2).tif,149,7714.382,51.774,0.693
13_DH3_slice5.tif-(Colour_1).tif,29,1097680.973,37851.068,98.585
13_DH3_slice5.tif-(Colour_2).tif,168,10597.459,63.080,0.952
13_DH4_slice6.tif-(Colour_1).tif,1,1113359.250,1113359.250,99.993
13_DH4_slice6.tif-(Colour_2).tif,224,16688.911,74.504,1.499
13_hyp1_slice3.tif-(Colour_1).tif,6,624996.612,104166.102,56.132
13_hyp1_slice3.tif-(Colour_2).tif,243,27271.644,112.229,2.449
13_hyp2_slice4.tif-(Colour_1).tif,39,556112.030,14259.283,49.945
13_hyp2_slice4.tif-(Colour_2).tif,195,15371.201,78.827,1.381
13_hyp3_slice5.tif-(Colour_1).tif,35,575470.269,16442.008,51.684
13_hyp3_slice5.tif-(Colour_2).tif,163,16745.582,102.734,1.504
13_hyp4_slice10.tif-(Colour_1).tif,38,517516.898,13618.866,46.479
13_hyp4_slice10.tif-(Colour_2).tif,471,98895.631,209.969,8.882
13_hyp4_slice6.tif-(Colour_1).tif,19,634957.744,33418.829,57.027
13_hyp4_slice6.tif-(Colour_2).tif,180,15117.744,83.987,1.358
14_DH1_slice4.tif-(Colour_1).tif,1,1113432.875,1113432.875,99.999
14_DH1_slice4.tif-(Colour_2).tif,49,1679.154,34.268,0.151
14_DH2_slice5.tif-(Colour_1).tif,1,1113426.625,1113426.625,99.999
14_DH2_slice5.tif-(Colour_2).tif,52,1724.670,33.167,0.155
14_DH3_slice6.tif-(Colour_1).tif,44,1037963.683,23590.084,93.221
14_DH3_slice6.tif-(Colour_2).tif,112,4558.661,40.702,0.409
14_DH4_slice7.tif-(Colour_1).tif,1,1113126.750,1113126.750,99.972
14_DH4_slice7.tif-(Colour_2).tif,108,4945.540,45.792,0.444
14_hyp1_slice4.tif-(Colour_1).tif,10,887721.583,88772.158,79.728
14_hyp1_slice4.tif-(Colour_2).tif,121,3726.893,30.801,0.335
14_hyp2_slice5.tif-(Colour_1).tif,18,710811.053,39489.503,63.839
14_hyp2_slice5.tif-(Colour_2).tif,141,4897.794,34.736,0.440
14_hyp3_slice6.tif-(Colour_1).tif,12,577928.943,48160.745,51.905
14_hyp3_slice6.tif-(Colour_2).tif,96,3704.581,38.589,0.333
