Slice,Count,Total Area,Average Size,%Area
27_CA1_4.tif-(Colour_2).tif,241,15707.997,65.178,1.411
29_ARC_1.tif-(Colour_1).tif,3,1011255.526,337085.175,90.823
29_ARC_1.tif-(Colour_2).tif,292,20732.040,71.000,1.862
29_ARC_2.tif-(Colour_1).tif,2,1098931.506,549465.753,98.698
29_ARC_2.tif-(Colour_2).tif,289,37186.125,128.672,3.340
29_ARC_3.tif-(Colour_1).tif,9,1012852.166,112539.130,90.967
29_ARC_3.tif-(Colour_2).tif,315,20814.592,66.078,1.869
29_ARC_4.tif-(Colour_1).tif,5,1015217.602,203043.520,91.179
29_ARC_4.tif-(Colour_2).tif,221,15054.278,68.119,1.352
29_CA1_1.tif-(Colour_1).tif,1,1113206.250,1113206.250,99.980
29_CA1_1.tif-(Colour_2).tif,224,14946.738,66.727,1.342
29_CA1_2.tif-(Colour_1).tif,1,1113394.125,1113394.125,99.996
29_CA1_2.tif-(Colour_2).tif,264,22129.615,83.824,1.988
29_CA1_3.tif-(Colour_1).tif,1,1113075.125,1113075.125,99.968
29_CA1_3.tif-(Colour_2).tif,330,23044.376,69.831,2.070
29_CA1_4.tif-(Colour_1).tif,5,1105290.225,221058.045,99.269
29_CA1_4.tif-(Colour_2).tif,306,19133.664,62.528,1.718
2_ARC_1.tif-(Colour_1).tif,32,792800.507,24775.016,71.203
2_ARC_1.tif-(Colour_2).tif,225,11525.981,51.227,1.035
2_ARC_2.tif-(Colour_1).tif,11,966211.403,87837.400,86.778
2_ARC_2.tif-(Colour_2).tif,214,10493.417,49.035,0.942
2_ARC_3.tif-(Colour_1).tif,31,939391.543,30302.953,84.369
2_ARC_3.tif-(Colour_2).tif,355,19958.287,56.221,1.792
2_ARC_4.tif-(Colour_1).tif,16,1013892.314,63368.270,91.060
2_ARC_4.tif-(Colour_2).tif,315,21272.864,67.533,1.911
2_ARC_5.tif-(Colour_1).tif,28,1046841.049,37387.180,94.019
2_ARC_5.tif-(Colour_2).tif,243,11685.283,48.088,1.049
2_ARC_6.tif-(Colour_1).tif,55,1042959.797,18962.905,93.671
2_ARC_6.tif-(Colour_2).tif,581,48810.721,84.012,4.384
2_ARC_7.tif-(Colour_1).tif,31,1009308.664,32558.344,90.648
2_ARC_7.tif-(Colour_2).tif,376,28176.405,74.937,2.531
2_CA1_1.tif-(Colour_1).tif,4,1110719.481,277679.870,99.756
2_CA1_1.tif-(Colour_2).tif,253,13968.168,55.210,1.255
2_CA1_2.tif-(Colour_1).tif,8,1110699.408,138837.426,99.754
2_CA1_2.tif-(Colour_2).tif,303,21708.826,71.646,1.950
2_CA1_3.tif-(Colour_1).tif,2,1112407.017,556203.509,99.908
2_CA1_3.tif-(Colour_2).tif,218,12300.180,56.423,1.105
2_CA1_4.tif-(Colour_1).tif,23,1106293.823,48099.731,99.359
2_CA1_4.tif-(Colour_2).tif,265,15216.258,57.420,1.367
2_CA1_5.tif-(Colour_1).tif,15,1108190.271,73879.351,99.529
2_CA1_5.tif-(Colour_2).tif,287,16242.128,56.593,1.459
2_CA1_6.tif-(Colour_1).tif,8,1109269.209,138658.651,99.626
2_CA1_6.tif-(Colour_2).tif,271,17811.946,65.727,1.600
2_CA1_7.tif-(Colour_1).tif,12,1110586.458,92548.871,99.744
2_CA1_7.tif-(Colour_2).tif,258,16400.538,63.568,1.473
2_CA1_8.tif-(Colour_1).tif,15,1109264.745,73950.983,99.626
2_CA1_8.tif-(Colour_2).tif,220,14332.287,65.147,1.287
30-A_ARC_1.tif-(Colour_1).tif,16,859220.116,53701.257,77.168
30-A_ARC_1.tif-(Colour_2).tif,477,40639.011,85.197,3.650
30-A_ARC_2.tif-(Colour_1).tif,12,1049737.990,87478.166,94.279
30-A_ARC_2.tif-(Colour_2).tif,227,15801.258,69.609,1.419
30-A_ARC_3.tif-(Colour_1).tif,5,1063513.837,212702.767,95.517
30-A_ARC_3.tif-(Colour_2).tif,252,14394.759,57.122,1.293
