id,litter,age,sex,diet,nor_type,ei_0,ei_1,ei_2,ei_3,ei_4,ei_5,ei_6,ei_7,ei_8,ei_9,ei_10,ei_11,ei_12,ei_13,ei_15,ei_16,ei_17,ei_18,ei_19,ei_20,ei_21,ei_22,ei_23,ei_24,ei_25,ei_26,ei_27,ei_28,ei_29,ei_30,bw_m2,bw_m1,bw_0,bw_1,bw_2,bw_3,bw_4,bw_5,bw_6,bw_7,bw_8,bw_9,bw_10,bw_11,bw_12,bw_13,bw_15,bw_16,bw_17,bw_18,bw_19,bw_20,bw_21,bw_22,bw_23,bw_24,bw_25,bw_26,bw_27,bw_28,bw_29,bw_30,fm_m2,lm_m2,fw_m2,tw_m2,fm_29,lm_29,fw_29,tw_29,explore_time,discrimination_index,arm_entries,spontaneous_alternations,arc_hema_area_avg,arc_hema_area_sd,arc_hema_area_cv,arc_iba1_number_avg,arc_iba1_number_sd,arc_iba1_number_cv,arc_iba1_density_avg,arc_iba1_density_sd,arc_iba1_density_cv,arc_slices_counted,ca1_hema_area_avg,ca1_hema_area_sd,ca1_hema_area_cv,ca1_iba1_number_avg,ca1_iba1_number_sd,ca1_iba1_number_cv,ca1_iba1_density_avg,ca1_iba1_density_sd,ca1_iba1_density_cv,ca1_slices_counted
18,110,62,0,1,0,93,112.21,116.62,92.61,67.62,127.4,99.96,95.06,87.71,58.31,97.51,119.56,88.2,98.49,196.98,108.29,109.76,82.32,104.86,102.41,79.87,117.11,95.55,90.65,74.97,85.75,79.87,94.08,78.4,82.81,290.6,294.4,296.6,306.1,315.8,317.2,319.4,326.8,334.6,340.3,338.6,329.6,350.9,359.1,357.6,364.9,377.7,379.6,385.7,387.3,391.4,395.2,399.3,404.5,408.2,413.2,409.2,413.1,422,419.5,427.9,424.2,32.54,225,0.681,182.421,86.689,292.428,1.165,239.669,148,0.18,12,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,111,59,0,2,0,99.51,50.47,79.38,91.14,85.75,99.96,94.08,98.98,100.94,101.92,97.51,98.98,101.43,108.29,186.2,104.86,99.47,99.96,119.07,82.32,76.44,98.49,85.75,87.71,81.83,85.26,84.77,102.41,76.44,83.3,317.6,320.5,325.5,318.6,316.3,324,322.5,329.3,336.6,343.1,346.9,351.5,356.1,362.2,365.1,372.1,377.3,378.9,381.4,383.6,391.3,390.3,391.7,395.3,397.2,401.3,404,401.3,411.3,412.6,415.3,412.4,37.127,243.578,1.003,198.863,68.384,296.028,0.846,240.745,101,0.03,9,89,988860.316,95891.11649885634,9.69713466576773,502.5,262.31596723544425,52.202182534416764,13166.570909664088,8145.948594643793,61.86841395936109,4,1088013.1705,26134.3668040504,2.402026695323942,808.3333333333334,222.41282936617364,27.514989199939006,18660.610712072896,5563.2980451345675,29.813054518817374,6
20,111,59,0,1,0,98.27,115.15,113.19,112.21,118.58,163.66,162.68,133.28,139.65,102.41,56.35,158.123,80.36,172.97,140.63,196,171.01,103.39,123.97,107.31,105.84,124.46,113.19,104.37,85.75,100.45,98.49,115.64,106.82,138.18,325.2,320.2,329.4,335.4,341.8,349.2,353.1,370,383.3,384.9,402.3,392.1,382.5,421.3,409.2,435.9,416.9,443.7,454.6,460.1,461.9,462.9,471.1,476.8,483.6,498.1,482.3,486.7,496.6,493.6,501.7,501.4,40.101,244.654,0.814,199.723,110.767,337.246,1.225,274.574,120,0.23,11,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,112,61,0,2,0,97.65,44.59,72.03,106.33,96.04,21.07,69.58,85.26,64.68,96.53,112.7,161.21,44.1,92.12,276.36,125.93,106.33,136.71,106.33,60.27,117.11,105.84,78.4,101.92,65.66,67.13,106.82,91.63,103.88,133.28,351.8,350.4,355.3,343.4,342.5,350.4,357.3,342.1,336.3,338.2,339.3,341.6,338.4,347.2,346.2,349.6,359,359.2,365.3,372.3,370.9,363.9,374.9,376.9,379.8,388.4,382.2,382.7,391.4,384.1,399.4,393.8,38.023,273.719,1.097,224.293,55.805,289.4,0.708,240.457,138,0.2,12,50,929100.4376000001,105661.21421798682,11.372421101310092,275.4,20.69541011915444,7.514673245880335,7520.719791888069,1269.3154693011666,16.877579599099864,5,1112137.004125,1040.2355345187982,0.09353483704440066,473.625,105.25606531556406,22.22350283780714,10647.741624562714,2371.0294185562484,22.267909028583542,8
22,112,61,0,1,1,94.86,134.75,123.48,129.85,135.24,132.3,122.99,122.01,120.54,129.85,122.5,126.91,128.87,125.93,141.61,171.99,158.27,114.66,144.06,111.23,88.69,111.72,97.51,107.31,113.19,126.42,101.92,77.42,96.04,96.53,336.4,339.9,343.7,356.9,364,374.4,381.3,393.4,404.3,409.5,419.3,427.4,434.3,445.4,449.6,458.9,442.1,468.6,472.6,483.8,490.1,492.8,497.2,495.3,509.9,507.4,519.3,522.7,537.6,531.2,537.3,534.6,46.017,250.92,0.929,208.01,153.365,329.933,1.517,270.691,115,0.01,13,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,112,61,0,2,1,91.14,69.58,73.01,106.33,102.9,107.8,100.94,106.33,110.74,98.49,85.75,109.76,98.49,101.92,207.76,101.92,117.6,113.19,104.86,93.1,79.87,110.25,90.16,88.69,102.9,107.31,97.51,81.34,82.32,111.72,346.8,348.5,352,350.4,347.5,356.4,359.8,365.4,371.6,376.2,384.2,388.1,391.6,403.1,403.8,408.5,419.6,419.2,424.8,353.5,435,433.5,438.2,444.1,444.7,445,459.8,454.5,463.9,458.7,462.3,459.5,42.291,265.855,0.891,214.231,83.701,323.73,1.023,264.88,37,0.24,5,80,991114.8916666666,13282.14361466983,1.3401214860503683,176,25.514701644346147,14.49698957065122,4444.926621503241,693.3680346037629,15.599088436003719,3,1112484.37875,698.3745861328795,0.06277612517288388,443.5,62.185207244167,14.021467247839233,9966.503554142999,1398.2518531040416,14.029512411329037,4
24,105,61,0,0,0,81.22,91.76,91.14,90.52,90.83,97.34,91.14,85.87,80.91,100.44,105.09,94.24,86.8,89.28,171.43,102.3,104.47,81.53,126.17,93.31,94.24,88.04,85.87,88.35,77.19,101.06,73.47,87.73,85.25,62,318.9,312.8,313.8,322.4,328.1,334.2,336.6,342.6,349.8,349.5,354.6,361.4,368.2,378.3,374,377.4,379.1,389.3,395,397.9,403.1,404.1,405.3,408.3,411.8,424.4,412.9,417.2,430.8,424.6,436.1,411.4,35.584,240.532,0.791,195.26,60.447,318.883,1.26,262.038,136,0.26,14,57,942041.0583333333,68449.17982735293,7.26605058472226,491.3333333333333,61.068267810159256,12.429091141823458,13032.864024690072,1201.0745120330037,9.215737306532406,3,1102539.1006666666,7663.73835561072,0.695099008368658,676,132.5028301584536,19.601010378469468,15341.876809365742,3116.630603565277,20.314532845568607,3
25,101,61,1,1,1,62.62,64.19,79.38,68.6,69.09,61.74,63.7,74.48,71.54,71.54,54.39,61.25,73.5,76.93,134.75,66.64,81.83,64.19,78.4,50.96,62.72,59.78,67.13,64.68,37.73,65.17,46.55,57.82,58.8,46.06,217,216.8,216.1,216,222.1,227.3,229.9,228.4,233,238.2,240.8,244,242.9,246.8,251,254.1,257.1,260.6,265.4,265.9,266.9,265.9,271.2,267.5,278.6,276.1,271.3,276.5,279.3,282.8,279.6,278.7,26.266,162.614,0.68,133.241,63.333,183.414,1.004,146.195,109,0.28,12,67,1004947.61575,69438.7242963245,6.909685958556342,150,41.896698358383006,27.931132238922,3703.4547595752974,821.3033586014991,22.17668128598077,4,1113083.6284,152.09435063571792,0.013664233913344469,218,19.849433241279208,9.10524460609138,4896.317264598261,445.9870526483393,9.108622430841033,5
26,101,61,1,0,1,55.49,60.45,53.94,65.41,46.81,61.69,51.46,57.04,49.6,60.76,56.73,53.32,62.31,50.84,124.31,53.94,55.49,53.63,61.38,57.97,48.98,53.94,60.14,53.01,50.84,50.84,41.23,53.01,49.91,57.04,203.7,202.7,204.1,210.2,211.5,213.6,209.3,216.8,219.5,219.8,221.3,222.7,223.6,228.2,226.3,226.7,235.1,233.2,232,239.3,237.1,237.2,240.3,238.6,250.6,242.4,247.9,240.4,248.8,252.5,247.4,251.3,20.392,157.612,0.815,130.452,31.229,179.481,0.66,144.734,107,0.29,13,77,930199.5153333333,41352.040473118075,4.445502259620049,228.5,29.063723092542705,12.719353651003374,6148.623124016365,804.6481566467944,13.08663973083436,6,1110922.0366666666,4964.3741810352185,0.446869718772604,240.33333333333334,25.796640608161884,10.73369234736278,5409.101305164676,586.8369884144884,10.849066329265627,6
27,102,62,1,0,1,49.6,51.15,59.83,54.87,58.9,52.08,61.38,58.59,56.11,63.55,50.84,63.86,70.68,58.28,113.15,40.92,84.94,53.63,62.62,44.33,47.74,63.55,62.62,40.61,59.83,66.03,50.22,51.77,48.67,48.67,197.8,195.6,195.7,197.5,202.7,205.1,205.8,204.4,209.6,211.5,212.9,212.8,213.6,216,220,219.6,217.8,218.6,222.6,224.7,221.2,218.5,221,220.8,227.6,226,227.6,228.3,236.5,230.8,229.7,228.1,24.33,150.474,0.713,121.787,37.585,157.716,1.073,124.456,72,0.14,8,63,941538.88275,95641.42298943302,10.157989727422441,330.25,92.78424794471671,28.09515456312391,8702.466657039397,2053.4281652282407,23.59593258041649,4,1111721.45,1265.232404664825,0.11380840089617998,260.25,27.439327008268016,10.543449378777336,5852.378337663306,616.5641499590002,10.535274966607462,4
